,brand_name,entree,side,dessert,calories,total_fat,carbs,sugar,protein,saturated_fat,cholesterol,sodium,meal_type,tag
5,McDonald's,Chicken Selects (3 Piece),,,380.0,22.0,21.0,0.0,24.0,3.5,70.0,690.0,entree_only,none
13,McDonald's,"Bacon, Egg & Cheese Bagel",,,550.0,25.0,54.0,7.0,26.0,11.0,225.0,1260.0,entree_only,breakfast
21,McDonald's,Double Cheeseburger,,,430.0,21.0,35.0,7.0,25.0,11.0,85.0,1040.0,entree_only,none
22,McDonald's,Egg McMuffin,,,300.0,12.0,30.0,3.0,18.0,6.0,245.0,730.0,entree_only,breakfast
24,McDonald's,Grilled Onion Cheddar Burger,,,310.0,13.0,32.0,6.0,15.0,6.0,45.0,640.0,entree_only,none
33,McDonald's,Mac Snack Wrap,,,340.0,20.0,26.0,2.0,15.0,7.0,50.0,660.0,entree_only,none
34,McDonald's,McDouble,,,380.0,18.0,34.0,7.0,23.0,8.0,70.0,840.0,entree_only,none
38,McDonald's,"Ranch Snack Wrap, Grilled",,,300.0,13.0,25.0,2.0,21.0,4.5,65.0,890.0,entree_only,none
39,McDonald's,Sausage Biscuit with Egg,,,530.0,34.0,38.0,3.0,17.0,15.0,205.0,1140.0,entree_only,breakfast
44,McDonald's,"Bacon, Egg & Cheese Biscuit with Egg Whites",,,410.0,21.0,39.0,3.0,18.0,11.0,40.0,1290.0,entree_only,breakfast
45,McDonald's,"Premium McWrap Chicken & Ranch, Grilled",,,490.0,19.0,41.0,5.0,39.0,7.0,120.0,1510.0,entree_only,none
46,McDonald's,"Premium McWrap Chicken Sweet Chili, Buttermilk Crispy",,,580.0,24.0,65.0,11.0,26.0,5.0,65.0,1310.0,entree_only,none
47,McDonald's,Sausage McMuffin with Egg Whites,,,430.0,26.0,29.0,3.0,20.0,11.0,60.0,830.0,entree_only,breakfast
48,McDonald's,"Steak, Egg & Cheese Bagel",,,630.0,31.0,54.0,7.0,32.0,14.0,255.0,1450.0,entree_only,breakfast
49,McDonald's,Buffalo Ranch McChicken,,,360.0,16.0,40.0,5.0,15.0,3.0,40.0,800.0,entree_only,none
51,McDonald's,Egg and Cheese Bagel,,,480.0,20.0,53.0,7.0,20.0,9.0,210.0,1020.0,entree_only,breakfast
53,McDonald's,Buttermilk Crispy Chicken Biscuit,,,570.0,28.0,55.0,2.0,24.0,10.0,60.0,1380.0,entree_only,breakfast
62,McDonald's,Pico Guacamole Burger on Artisan Roll,,,630.0,33.0,51.0,12.0,32.0,13.0,95.0,1010.0,entree_only,none
66,McDonald's,Country Ham Biscuit,,,340.0,14.0,36.0,2.0,15.0,8.0,35.0,1600.0,entree_only,breakfast
67,McDonald's,Biscuit Chicken Sausage,,,350.0,17.0,36.0,2.0,13.0,8.0,50.0,1110.0,entree_only,breakfast
