,brand_name,entree,calories,total_fat,carbs,sugar,protein,saturated_fat,cholesterol,sodium,meal_type,tag
21,McDonald's,Egg McMuffin,300.0,12.0,30.0,3.0,18.0,6.0,245.0,730.0,entree_only,breakfast
23,McDonald's,Grilled Onion Cheddar Burger,310.0,13.0,32.0,6.0,15.0,6.0,45.0,640.0,entree_only,none
33,McDonald's,McDouble,380.0,18.0,34.0,7.0,23.0,8.0,70.0,840.0,entree_only,none
37,McDonald's,"Ranch Snack Wrap, Grilled",300.0,13.0,25.0,2.0,21.0,4.5,65.0,890.0,entree_only,none
44,McDonald's,"Premium McWrap Chicken & Ranch, Grilled",490.0,19.0,41.0,5.0,39.0,7.0,120.0,1510.0,entree_only,none
48,McDonald's,Buffalo Ranch McChicken,360.0,16.0,40.0,5.0,15.0,3.0,40.0,800.0,entree_only,none
65,McDonald's,Country Ham Biscuit,340.0,14.0,36.0,2.0,15.0,8.0,35.0,1600.0,entree_only,breakfast
66,McDonald's,Biscuit Chicken Sausage,350.0,17.0,36.0,2.0,13.0,8.0,50.0,1110.0,entree_only,breakfast
83,McDonald's,Pico Guacamole Grilled Chicken Sandwich on Potato Roll,470.0,17.0,40.0,6.0,38.0,5.0,115.0,1520.0,entree_only,none
124,McDonald's,Steak & Egg Burrito,350.0,15.0,38.0,3.0,16.0,6.0,115.0,950.0,entree_only,breakfast
131,McDonald's,Caesar McWrap With Artisan Grilled Chicken,470.0,18.0,40.0,5.0,38.0,5.0,110.0,1440.0,entree_only,none
137,McDonald's,Green Chili Double Cheeseburger,390.0,18.0,34.0,7.0,23.0,8.0,70.0,760.0,entree_only,none
170,McDonald's,Chicken McNuggets (6 piece),270.0,16.0,16.0,0.0,15.0,2.5,45.0,510.0,entree_only,none
225,McDonald's,Portuguese Sausage Side Order,220.0,19.0,2.0,1.0,10.0,7.0,50.0,570.0,entree_only,breakfast
231,McDonald's,Green Chili Double Cheeseburger New York,390.0,18.0,34.0,7.0,23.0,8.0,70.0,750.0,entree_only,none
257,McDonald's,Cheeseburger Bacon,360.0,16.0,34.0,7.0,21.0,7.0,55.0,920.0,entree_only,none
269,McDonald's,Deluxe Artisan Grilled Chicken on Potato Roll,360.0,9.0,36.0,6.0,35.0,2.5,100.0,1140.0,entree_only,none
279,McDonald's,Chicken Sausage McMuffin,290.0,12.0,29.0,2.0,16.0,6.0,65.0,800.0,entree_only,breakfast
288,McDonald's,Deluxe Artisan Grilled Chicken on Sesame Seed Bun,360.0,9.0,36.0,7.0,35.0,2.5,100.0,1070.0,entree_only,none
349,McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,190.0,12.0,9.0,3.0,14.0,5.0,40.0,500.0,entree_only,none
350,McDonald's,Premium Southwest Salad with Buttermilk Crispy Chicken,160.0,7.0,19.0,4.0,8.0,3.0,15.0,200.0,entree_only,none
373,McDonald's,Buttermilk Crispy Chicken Tenders (2 piece),240.0,13.0,11.0,0.0,20.0,2.0,50.0,680.0,entree_only,none
395,McDonald's,Cheeseburger Bacon New York,360.0,16.0,34.0,7.0,20.0,7.0,55.0,920.0,entree_only,none
432,McDonald's,Cheeseburger,300.0,12.0,33.0,7.0,15.0,5.0,40.0,680.0,entree_only,none
440,McDonald's,Hamburger,250.0,8.0,31.0,6.0,13.0,3.0,30.0,480.0,entree_only,none
447,McDonald's,McChicken,350.0,15.0,40.0,5.0,15.0,3.5,40.0,600.0,entree_only,none
450,McDonald's,Premium Bacon Ranch Salad without chicken,320.0,14.0,9.0,4.0,42.0,6.0,135.0,1230.0,entree_only,none
452,McDonald's,Sausage Burrito,290.0,15.0,26.0,2.0,13.0,6.0,165.0,800.0,entree_only,breakfast
465,McDonald's,Pico Guacamole Artisan Grilled Chicken without Bun,300.0,15.0,8.0,2.0,32.0,4.5,115.0,1200.0,entree_only,none
476,McDonald's,Hamburger New York,250.0,8.0,31.0,6.0,13.0,3.0,30.0,470.0,entree_only,none
480,McDonald's,McChicken Deluxe,430.0,19.0,47.0,7.0,18.0,6.0,55.0,830.0,entree_only,none
481,McDonald's,Chorizo Burrito,310.0,15.0,28.0,3.0,16.0,6.0,175.0,820.0,entree_only,breakfast
496,McDonald's,Bagel With Cream Cheese,310.0,8.0,49.0,6.0,10.0,4.0,25.0,570.0,entree_only,breakfast
512,McDonald's,Bagel Plain,260.0,2.0,50.0,5.0,10.0,0.0,0.0,500.0,entree_only,breakfast
517,McDonald's,Bacon and White Cheddar Cheese McMuffin,350.0,16.0,30.0,3.0,20.0,7.0,255.0,770.0,entree_only,breakfast
553,McDonald's,Chicken McNuggets (4 piece),180.0,11.0,11.0,0.0,10.0,2.0,30.0,340.0,entree_only,none
601,McDonald's,Lobster Roll,290.0,5.0,35.0,3.0,24.0,1.5,65.0,630.0,entree_only,none
602,McDonald's,Cheeseburger New York,300.0,12.0,33.0,7.0,15.0,5.0,40.0,670.0,entree_only,none
613,McDonald's,Pico Guacamole Artisan Grilled Chicken on Sesame Seed Bun,470.0,18.0,40.0,7.0,38.0,5.0,115.0,1450.0,entree_only,none
619,McDonald's,Bacon Biscuit,340.0,17.0,36.0,3.0,10.0,9.0,20.0,1010.0,entree_only,breakfast
631,McDonald's,McChicken Hot 'N Spicy Patty,160.0,10.0,11.0,0.0,9.0,2.0,35.0,300.0,entree_only,none
635,Wendy's,Crispy Chicken Sandwich,330.0,16.0,33.0,4.0,14.0,3.0,30.0,600.0,entree_only,none
636,Wendy's,Grilled Chicken Wrap,270.0,10.0,24.0,3.0,20.0,3.5,55.0,640.0,entree_only,none
656,Wendy's,Artisan Egg Sandwich with Applewood Smoked Bacon,360.0,19.0,29.0,4.0,20.0,8.0,250.0,750.0,entree_only,none
666,Wendy's,Kids' 4-Piece Chicken Nuggets,170.0,11.0,10.0,0.0,9.0,2.0,35.0,340.0,entree_only,none
668,Wendy's,Jr. Cheeseburger,280.0,13.0,25.0,5.0,16.0,6.0,50.0,740.0,entree_only,none
675,Wendy's,1/4 lb. Hamburger Patty,240.0,18.0,0.0,0.0,20.0,7.0,75.0,280.0,entree_only,none
676,Wendy's,Homestyle Chicken Breast,280.0,13.0,17.0,0.0,23.0,2.5,70.0,710.0,entree_only,none
680,Wendy's,Garden Side Salad with Ranch Dressing,260.0,18.0,19.0,4.0,7.0,4.5,20.0,460.0,entree_only,none
691,Wendy's,6-Piece Chicken Nuggets,250.0,16.0,14.0,0.0,13.0,3.5,50.0,510.0,entree_only,none
695,Wendy's,Kids' Grilled Chicken Wrap,270.0,10.0,24.0,3.0,20.0,3.5,55.0,640.0,entree_only,none
698,Wendy's,Kids' Hamburger,240.0,9.0,24.0,5.0,13.0,3.5,40.0,420.0,entree_only,none
701,Wendy's,3-Piece Chicken Tenders,300.0,14.0,20.0,0.0,22.0,2.5,70.0,920.0,entree_only,none
705,Wendy's,Jr. Cheeseburger Deluxe,330.0,19.0,27.0,6.0,16.0,7.0,55.0,740.0,entree_only,none
706,Wendy's,Homestyle Chicken Wrap,340.0,16.0,32.0,4.0,17.0,0.5,50.0,820.0,entree_only,none
710,Wendy's,Jr. Hamburger Patty,110.0,8.0,0.0,0.0,9.0,3.5,40.0,130.0,entree_only,none
711,Wendy's,Jr. Sandwich Bun,120.0,1.5,23.0,4.0,4.0,0.0,0.0,210.0,entree_only,none
712,Wendy's,Grilled Chicken Breast,130.0,2.0,0.0,0.0,29.0,0.5,90.0,370.0,entree_only,none
722,Wendy's,Premium Cod,180.0,9.0,14.0,0.0,11.0,2.0,30.0,480.0,entree_only,none
723,Wendy's,Kids' Cheeseburger,270.0,13.0,25.0,5.0,15.0,6.0,50.0,620.0,entree_only,none
733,Wendy's,4-Piece Chicken Tenders,400.0,19.0,26.0,1.0,29.0,3.0,90.0,1230.0,entree_only,none
744,Wendy's,Spicy Chicken Breast,270.0,12.0,16.0,0.0,24.0,2.5,70.0,750.0,entree_only,none
771,Wendy's,Kids' 2-Piece Chicken Tenders,200.0,10.0,13.0,0.0,15.0,1.5,45.0,620.0,entree_only,none
778,Burger King,Kids Cheeseburger,270.0,12.0,27.0,7.0,13.0,5.0,40.0,560.0,entree_only,none
788,Burger King,Hamburger,220.0,8.0,26.0,6.0,11.0,3.0,30.0,380.0,entree_only,none
